,stress,joblose,satfin
stress,0.0,2.1560456550192517e-06,5.1242522357767665e-11
joblose,2.1560456550192517e-06,0.0,1.5132537930464063e-56
satfin,5.1242522357767665e-11,1.5132537930464063e-56,0.0
